계정과목,2024년(기말),1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,2025년(기말),YoY
운전자본 합계,,"2,175","4,230","5,406","5,755","4,754","4,137","4,152","7,111","7,374","7,169","6,537",534,534,
전월대비,,,"2,054","1,176",349,"-1,001",-617,15,"2,959",263,-205,-631,"-6,003","-6,003",
매출채권,,"1,332","1,420",855,990,"1,003",815,798,"1,019",828,754,"1,765",371,371,
재고자산,,"4,467","6,632","6,708","6,850","6,368","6,016","6,992","8,718","9,216","8,274","6,615","4,942","4,942",
매입채무,,"3,624","3,822","2,157","2,086","2,617","2,694","3,639","2,627","2,670","1,859","1,843","4,778","4,778",
