계정과목,25년(기말),1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,26년(계획),26년(기말),전년대비,계획대비
매출채권,371,440,519,606,580,610,530,575,651,769,686,748,748,748,756,385,0
재고자산,"4,597","4,597","6,500","6,909","6,205","5,589","5,110","6,647","5,638","7,313","6,598","5,358","2,583","2,583","2,438","-2,159",0
매입채무,"4,778","2,489","1,509","1,639","1,808","2,089","2,202","2,000","1,946","1,954","2,191","2,286","2,021","2,021","2,104","-2,674",0
운전자본 합계,190,"2,548","5,510","5,876","4,977","4,110","3,438","5,223","4,343","6,128","5,093","3,820","1,310","1,310","1,090",900,0
