계정과목,기초잔액,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,26년(계획),기말잔액,전년대비,계획대비
현금잔액,"7,563","4,875","2,563","2,457","2,450","2,761","2,872","1,935","1,177","2,401","3,134","4,716","3,238","3,355","3,238","-4,325",0
차입금잔액,"39,215","39,364","21,364","21,364","21,364","21,364","21,364","21,364","21,364","21,364","21,364","21,364","14,364","14,364","14,364","-24,851",0
