구분,기초잔액,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,기말잔액,YoY
현금잔액,"7,142","4,454","2,965","3,310","3,461","4,148","4,777","2,930","3,204","2,811","3,812","5,346","4,820","4,820","-2,322"
차입금잔액,"39,215","39,364","21,364","21,364","21,364","21,364","21,364","21,364","21,364","21,364","21,364","21,364","13,364","13,364","-25,851"
